mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
baseline,micro_f1,0.442871,0.010508,0.435354,0.450387,10
baseline,macro_f1,0.092225,0.005047,0.088614,0.095835,10
baseline,accuracy,0.442871,0.010508,0.435354,0.450387,10
baseline,hard_slice_macro_f1,0.109233,0.024396,0.091781,0.126685,10
is,micro_f1,0.441753,0.016959,0.429621,0.453885,10
is,macro_f1,0.090526,0.003663,0.087906,0.093146,10
is,accuracy,0.441753,0.016959,0.429621,0.453885,10
is,hard_slice_macro_f1,0.111448,0.020071,0.097089,0.125806,10
cl,micro_f1,0.451642,0.001024,0.450909,0.452375,10
cl,macro_f1,0.088893,0.000139,0.088793,0.088992,10
cl,accuracy,0.451642,0.001024,0.450909,0.452375,10
cl,hard_slice_macro_f1,0.119654,0.014865,0.109020,0.130288,10
is_cl,micro_f1,0.444433,0.010905,0.436632,0.452234,10
is_cl,macro_f1,0.088973,0.002535,0.087160,0.090787,10
is_cl,accuracy,0.444433,0.010905,0.436632,0.452234,10
is_cl,hard_slice_macro_f1,0.110989,0.023427,0.094231,0.127748,10
